period,keyword,category,mechanism_relevance,mention_count,rank_in_period
2021–2024,pandemic,health and vulnerability,medium,4214,8.0
2021–2024,city,housing and thermal comfort,medium,2953,9.0
2021–2024,care,welfare and care,high,2772,10.0
2021–2024,economy,affordability and income constraints,medium,2714,11.0
2021–2024,child,welfare and care,medium,2675,12.0
2021–2024,sustainable,energy transition and efficiency,medium,2600,13.0
2021–2024,community,household behaviour and adoption,medium,2433,14.0
2021–2024,affordable housing,housing and thermal comfort,high,2397,15.0
2021–2024,resilience,health and vulnerability,high,2356,16.0
2021–2024,abuse,health and vulnerability,medium,2038,17.0
2021–2024,energy,energy transition and efficiency,high,1823,18.0
2021–2024,cost,affordability and income constraints,high,1815,19.0
2021–2024,carbon,energy transition and efficiency,high,1662,20.0
2021–2024,environmental,energy transition and efficiency,medium,1648,21.0
2021–2024,security,health and vulnerability,medium,1642,22.0
2021–2024,accessibility,health and vulnerability,high,1543,23.0
2021–2024,gender,welfare and care,medium,1361,24.0
2021–2024,employment,affordability and income constraints,medium,1282,25.0
2021–2024,financial,affordability and income constraints,high,1280,26.0
2021–2024,poverty,affordability and income constraints,high,1168,27.0
2021–2024,aid,affordability and income constraints,medium,1126,28.0
2021–2024,people,household behaviour and adoption,medium,1064,29.0
2021–2024,market,affordability and income constraints,medium,847,30.0
2021–2024,adult,health and vulnerability,high,647,31.0
2021–2024,age,health and vulnerability,high,232,32.0
2021–2024,fuel,energy transition and efficiency,high,173,33.0
2021–2024,right,welfare and care,medium,153,34.0
2021–2024,household,household behaviour and adoption,high,151,35.0
2021–2024,energy poverty,affordability and income constraints,high,101,36.0
2021–2024,electricity,energy transition and efficiency,high,44,37.0
2021–2024,fuel poverty,affordability and income constraints,high,18,38.0
2021–2024,retrofit,housing and thermal comfort,high,14,39.0
2021–2024,woman,welfare and care,medium,10,40.0
